Direction_ID,Travel_ID,Current_Status,Vehicle ID,Latitude,Line_ID,Longitude,Pattern_ID,Route_ID,schedule_relationship,Shift_ID,Speed,Stop_ID,Timestamp,Trip_ID,Datetime,Date,Time,Day,Workday,Color_ID,Operator,Source,District
171,7_7222-13,Approaching,41|1255,38.76266098022461,1524,-9.29856014251709,1524_0_2,1524_0,SCHEDULED,7222,8.333333333333334,170693,1753780622,1524_0_2_1000_1029_0_7_21NBI,2025-07-29 09:17:02,2025-07-29,09:17:02,Tuesday,True,Blue Line,CM,CM,Cacém
6,20250729-64810212-312510234560,In Transit,44|12582,38.527069091796875,4426,-8.886786460876465,4426_0_1,4426_0,SCHEDULED,312510234560,8.88888888888889,160141,1753780627,4426_0_1|3700|1000_PYPHK,2025-07-29 09:17:07,2025-07-29,09:17:07,Tuesday,True,Blue Line,CM,CM,Bairro Salgado
63,20250729-64810149-321180234560,In Transit,44|12504,38.62733459472656,4512,-8.917664527893066,4512_0_1,4512_0,SCHEDULED,321180234560,7.222222222222222,130453,1753780616,4512_0_1|3700|0920_PYPHK,2025-07-29 09:16:56,2025-07-29,09:16:56,Tuesday,True,Red Line,CM,CM,Pinhal Novo
193,20250729-64810315-312190234560,In Transit,44|12086,38.5256233215332,4427,-8.894116401672363,4427_0_2,4427_0,SCHEDULED,312190234560,6.388888888888888,160531,1753780616,4427_0_2|3700|1000_PYPHK,2025-07-29 09:16:56,2025-07-29,09:16:56,Tuesday,True,Blue Line,CM,CM,Centro Histórico
97,7_7768-13,In Transit,41|1227,38.80963134765625,1248,-9.374658584594727,1248_0_1,1248_0,SCHEDULED,7768,10.277777777777777,171305,1753780625,1248_0_1_1000_1029_0_7_21NBI,2025-07-29 09:17:05,2025-07-29,09:17:05,Tuesday,True,Red Line,CM,CM,Estefânea
292,20250729-64810267-321690234560,Approaching,44|12097,38.649383544921875,4620,-8.997224807739258,4620_0_1,4620_0,SCHEDULED,321690234560,8.055555555555555,090183,1753780627,4620_0_1|3700|1000_PYPHK,2025-07-29 09:17:07,2025-07-29,09:17:07,Tuesday,True,Red Line,CM,CM,Arroteias
228,20250729-64810140-311230234560,In Transit,44|12556,38.544044494628906,4560,-9.019729614257812,4560_0_1,4560_0,SCHEDULED,311230234560,11.666666666666666,160759,1753780616,4560_0_1|3700|1000_PYPHK,2025-07-29 09:16:56,2025-07-29,09:16:56,Tuesday,True,Red Line,CM,CM,Azeitão (São Lourenço e São Simão)
69,20250729-64810317-323420234560,In Transit,44|12714,38.753265380859375,4702,-8.956694602966309,4702_0_2,4702_0,SCHEDULED,323420234560,6.666666666666666,010141,1753780617,4702_0_2|3700|1000_PYPHK,2025-07-29 09:16:57,2025-07-29,09:16:57,Tuesday,True,Yellow Line,CM,CM,Várzea
146,20250729-64810402-313170234560,In Transit,44|13793,38.520484924316406,4730,-8.983363151550293,4730_0_1,4730_0,SCHEDULED,313170234560,15.833333333333332,160555,1753780615,4730_0_1|3700|0905_PYPHK,2025-07-29 09:16:55,2025-07-29,09:16:55,Tuesday,True,Red Line,CM,CM,Azeitão (São Lourenço e São Simão)
267,20250729-64810366-312360234560,In Transit,44|12605,38.52842712402344,4422,-8.887163162231445,4422_0_1,4422_0,SCHEDULED,312360234560,0.0,160123,1753780614,4422_0_1|3700|1000_PYPHK,2025-07-29 09:16:54,2025-07-29,09:16:54,Tuesday,True,Red Line,CM,CM,Bairro Salgado
