Line_ID,Color_ID,Operator 
2144,Red Line,CM
2145,Red Line,CM
2146,Red Line,CM
2147,Red Line,CM
2148,Red Line,CM
2149,Red Line,CM
2150,Red Line,CM
2151,Red Line,CM
2152,Red Line,CM
2201,Red Line,CM
2202,Red Line,CM
2203,Red Line,CM
2204,Blue Line,CM
2205,red Line,CM
2206,red Line,CM
2207,red Line,CM
2208,red Line,CM
2209,red Line,CM
2210,red Line,CM
2211,red Line,CM
2212,Blue Line,CM
2213,Red Line,CM
2215,Red Line,CM
2216,Red Line,CM
2217,Red Line,CM
2218,Red Line,CM
2219,Red Line,CM
2220,Blue Line,CM
2221,Red Line,CM
2222,Blue Line,CM
2223,Red Line,CM
2224,Red Line,CM
2225,Red Line,CM
2303,Red Line,CM
2304,Red Line,CM
2306,Red Line,CM
2307,Red Line,CM
2309,Red Line,CM
2310,Red Line,CM
2315,Red Line,CM
2316,Red Line,CM
2317,Red Line,CM
2318,Blue Line,CM
2319,Blue Line,CM
2325,Red Line,CM
2327,Red Line,CM
2328,Red Line,CM
2329,Red Line,CM
2331,Blue Line,CM
2333,Blue Line,CM
2335,Blue Line,CM
2336,Blue Line,CM
2337,Blue Line,CM
2501,Red Line,CM
2502,Red Line,CM
2504,Red Line,CM
2505,Red Line,CM
2506,Red Line,CM
2511,Red Line,CM
2513,Red Line,CM
2515,Red Line,CM
2516,Red Line,CM
2517,Red Line,CM
2518,Red Line,CM
2519,Red Line,CM
2521,Red Line,CM
2522,Red Line,CM
2523,Red Line,CM
2524,Red Line,CM
2525,Red Line,CM
2530,Red Line,CM
2532,Red Line,CM
2533,Red Line,CM
2534,Red Line,CM
2535,Red Line,CM
2536,Red Line,CM
2537,Red Line,CM
2538,Red Line,CM
2539,Red Line,CM
2540,Red Line,CM
2601,Red Line,CM
2605,Red Line,CM
2610,Red Line,CM
2611,Red Line,CM
2620,Red Line,CM
2621,Red Line,CM
2625,Red Line,CM
2626,Red Line,CM
2627,Red Line,CM
2630,Blue Line,CM
2632,Red Line,CM
2650,Green Line,CM
2651,Green Line,CM
2652,Green Line,CM
2701,Red Line,CM
2703,Red Line,CM
2706,Red Line,CM
2708,Red Line,CM
2709,Red Line,CM
2710,Red Line,CM
2711,Red Line,CM
2713,Red Line,CM
2714,Red Line,CM
2715,Red Line,CM
2716,Red Line,CM
2717,Red Line,CM
2718,Red Line,CM
2719,Red Line,CM
2720,Red Line,CM
2722,Red Line,CM
2723,Red Line,CM
2724,Red Line,CM
2725,Red Line,CM
2726,Red Line,CM
2727,Red Line,CM
2728,Red Line,CM
2729,Red Line,CM
2730,Red Line,CM
2731,Red Line,CM
2733,Red Line,CM
2734,Red Line,CM
2735,Red Line,CM
2736,Red Line,CM
2740,Yellow Line,CM
2741,Yellow Line,CM
2742,Yellow Line,CM
2743,Red Line,CM
2744,Yellow Line,CM
2745,Red Line,CM
2746,Yellow Line,CM
2750,Red Line,CM
2751,Red Line,CM
2752,Red Line,CM
2753,Red Line,CM
2754,Red Line,CM
2755,Red Line,CM
2756,Red Line,CM
2758,Red Line,CM
2761,Red Line,CM
2762,Red Line,CM
2764,Red Line,CM
2765,Red Line,CM
2776,Red Line,CM
2780,Red Line,CM
2781,Red Line,CM
2782,Red Line,CM
2785,Red Line,CM
2790,Red Line,CM
2791,Red Line,CM
2792,Red Line,CM
2794,Red Line,CM
2795,Red Line,CM
2796,Red Line,CM
2797,Red Line,CM
2801,Yellow Line,CM
2802,Yellow Line,CM
2803,Yellow Line,CM
2804,Yellow Line,CM
2805,Yellow Line,CM
2806,Yellow Line,CM
2807,Yellow Line,CM
2810,Red Line,CM
2811,Red Line,CM
2812,Red Line,CM
2813,Red Line,CM
2814,Red Line,CM
2816,Red Line,CM
2817,Red Line,CM
2818,Red Line,CM
2819,Red Line,CM
2820,Red Line,CM
2821,Red Line,CM
2822,Red Line,CM
2823,Red Line,CM
2824,Red Line,CM
2830,Red Line,CM
2831,Red Line,CM
2832,Red Line,CM
2833,Red Line,CM
2841,Red Line,CM
2842,Red Line,CM
2850,Green Line,CM
2900,Yellow Line,CM
2901,Red Line,CM
2905,Pink Line,CM
2906,Red Line,CM
2907,Red Line,CM
2908,Pink Line,CM
2910,Red Line,CM
2911,Red Line,CM
2912,Red Line,CM
2913,Red Line,CM
2914,Pink Line,CM
2915,Red Line,CM
2920,Red Line,CM
2921,Pink Line,CM
2926,Red Line,CM
2927,Red Line,CM
2928,Red Line,CM
3001,Blue Line,CM
3003,Red Line,CM
3004,Red Line,CM
3005,Blue Line,CM
3007,Red Line,CM
3008,Red Line,CM
3009,Red Line,CM
3011,Red Line,CM
3012,Red Line,CM
3013,Red Line,CM
3017,Red Line,CM
3018,Red Line,CM
3019,Red Line,CM
3021,Red Line,CM
3022,Red Line,CM
3023,Red Line,CM
3024,Red Line,CM
3025,Red Line,CM
3026,Blue Line,CM
3027,Red Line,CM
3030,Red Line,CM
3033,Blue Line,CM
3034,Red Line,CM
3038,Blue Line,CM
3039,Blue Line,CM
3040,Red Line,CM
3041,Red Line,CM
3042,Blue Line,CM
3043,Blue Line,CM
3101,Blue Line,CM
3103,Red Line,CM
3104,Red Line,CM
3105,Red Line,CM
3106,Blue Line,CM
3107,Blue Line,CM
3108,Blue Line,CM
3109,Red Line,CM
3110,Red Line,CM
2768,Red Line,CM
2769,Red Line,CM
2772,Red Line,CM
2774,Red Line,CM
3111,Red Line,CM
3112,Blue Line,CM
3113,Blue Line,CM
3114,Red Line,CM
3116,Red Line,CM
3118,Red Line,CM
3119,Red Line,CM
3120,Red Line,CM
3121,Blue Line,CM
3201,Red Line,CM
3202,Red Line,CM
3203,Red Line,CM
3204,Red Line,CM
3205,Red Line,CM
3206,Red Line,CM
3207,Red Line,CM
3208,Red Line,CM
3209,Red Line,CM
3210,Red Line,CM
3211,Red Line,CM
3212,Red Line,CM
3213,Red Line,CM
3214,Red Line,CM
3215,Red Line,CM
3216,Red Line,CM
3217,Red Line,CM
3218,Blue Line,CM
3220,Blue Line,CM
3221,Red Line,CM
3222,Blue Line,CM
3223,Blue Line,CM
3502,Red Line,CM
3503,Red Line,CM
3504,Red Line,CM
3505,Red Line,CM
3506,Red Line,CM
3507,Red Line,CM
3508,Red Line,CM
3509,Red Line,CM
3510,Red Line,CM
3511,Red Line,CM
3512,Red Line,CM
3513,Red Line,CM
3514,Red Line,CM
3515,Red Line,CM
3516,Red Line,CM
3517,Red Line,CM
3518,Red Line,CM
3519,Red Line,CM
3520,Red Line,CM
3521,Red Line,CM
3522,Red Line,CM
3523,Red Line,CM
3524,Red Line,CM
3525,Red Line,CM
3526,Red Line,CM
3527,Red Line,CM
3528,Red Line,CM
3535,Red Line,CM
3536,Red Line,CM
3540,Red Line,CM
3541,Red Line,CM
3542,Red Line,CM
3543,Red Line,CM
3544,Red Line,CM
3546,Red Line,CM
3547,Red Line,CM
3548,Red Line,CM
3549,Red Line,CM
3590,Red Line,CM
3601,Red Line,CM
3605,Red Line,CM
3615,Red Line,CM
3620,Red Line,CM
3625,Red Line,CM
3626,Red Line,CM
3635,Red Line,CM
3640,Red Line,CM
3641,Red Line,CM
3642,Red Line,CM
3650,Green Line,CM
3701,Red Line,CM
3702,Red Line,CM
3703,Red Line,CM
3704,Red Line,CM
3705,Red Line,CM
3706,Red Line,CM
3708,Red Line,CM
3709,Red Line,CM
3710,Red Line,CM
3711,Red Line,CM
3715,Red Line,CM
3716,Red Line,CM
3717,Red Line,CM
3720,Yellow Line,CM
3721,Yellow Line,CM
4001,Blue Line,CM
4002,Blue Line,CM
4101,Red Line,CM
4102,Red Line,CM
4103,Blue Line,CM
4104,Blue Line,CM
4105,Blue Line,CM
4106,Blue Line,CM
4107,Blue Line,CM
4202,Red Line,CM
4203,Blue Line,CM
4204,Blue Line,CM
4205,Red Line,CM
4206,Blue Line,CM
4207,Blue Line,CM
4208,Red Line,CM
4211,Blue Line,CM
4212,Red Line,CM
4301,Blue Line,CM
4302,Red Line,CM
4303,Blue Line,CM
4304,Red Line,CM
4305,Red Line,CM
4307,Red Line,CM
4308,Red Line,CM
4310,Red Line,CM
4311,Red Line,CM
4312,Red Line,CM
4313,Red Line,CM
4320,Blue Line,CM
4321,Red Line,CM
4322,Red Line,CM
4401,Red Line,CM
4402,Red Line,CM
4403,Blue Line,CM
4404,Blue Line,CM
4405,Blue Line,CM
4406,Blue Line,CM
4407,Red Line,CM
4408,Red Line,CM
4409,Red Line,CM
4410,Red Line,CM
4412,Red Line,CM
4414,Red Line,CM
4415,Red Line,CM
4416,Red Line,CM
4417,Red Line,CM
4419,Red Line,CM
4420,Blue Line,CM
4422,Red Line,CM
4425,Red Line,CM
4426,Blue Line,CM
4427,Blue Line,CM
4428,Red Line,CM
4429,Red Line,CM
4431,Blue Line,CM
4432,Red Line,CM
4433,Red Line,CM
4434,Blue Line,CM
4435,Red Line,CM
4436,Blue Line,CM
4437,Red Line,CM
4438,Red Line,CM
4439,Red Line,CM
4440,Red Line,CM
4441,Red Line,CM
4442,Red Line,CM
4443,Red Line,CM
4451,Red Line,CM
4452,Red Line,CM
4453,Red Line,CM
4463,Blue Line,CM
4464,Blue Line,CM
4465,Blue Line,CM
4466,Blue Line,CM
4467,Blue Line,CM
4468,Blue Line,CM
4470,Red Line,CM
4471,Red Line,CM
4474,Red Line,CM
4481,Red Line,CM
4482,Red Line,CM
4501,Red Line,CM
4503,Red Line,CM
4504,Red Line,CM
4512,Red Line,CM
4514,Red Line,CM
4515,Red Line,CM
4516,Red Line,CM
4520,Red Line,CM
4521,Red Line,CM
4522,Red Line,CM
4524,Red Line,CM
4525,Red Line,CM
4530,Red Line,CM
4531,Red Line,CM
4532,Red Line,CM
4540,Red Line,CM
4541,Red Line,CM
4542,Red Line,CM
4543,Red Line,CM
4544,Red Line,CM
4545,Red Line,CM
4546,Red Line,CM
4548,Red Line,CM
4549,Red Line,CM
4550,Red Line,CM
4551,Red Line,CM
4552,Red Line,CM
4560,Red Line,CM
4562,Red Line,CM
4600,Red Line,CM
4602,Red Line,CM
4604,Red Line,CM
4605,Red Line,CM
4610,Red Line,CM
4611,Red Line,CM
4612,Red Line,CM
4620,Red Line,CM
4621,Red Line,CM
4632,Red Line,CM
4641,Red Line,CM
4701,Yellow Line,CM
4702,Yellow Line,CM
4704,Yellow Line,CM
4705,Yellow Line,CM
4706,Yellow Line,CM
4707,Yellow Line,CM
4708,Yellow Line,CM
4710,Yellow Line,CM
4715,Yellow Line,CM
4720,Yellow Line,CM
4725,Yellow Line,CM
4730,Red Line,CM
4741,Yellow Line,CM
4901,Red Line,CM
4902,Red Line,CM
4905,Pink Line,CM
4906,Pink Line,CM
